Tp,Hs,Uw,Op
5.55,1.32,7.14,1
5.5,1.13,6.20333333333333,1
6.2,1.11,7.58666666666667,1
5.99,1.15,7.64166666666667,1
6.37,1.13,9.73166666666667,1
4.9,1.29,10.7233333333333,1
5.51,1.48,11.815,1
5.92,1.68,12.3583333333333,1
6.06,1.81,12.3783333333333,1
5.92,1.95,12.0483333333333,1
6,2.17,12.28,1
6.02,1.91,11.985,1
6.35,2.08,12.445,1
6.42,2.02,12.1483333333333,1
6.79,1.89,11.6816666666667,1
6.93,1.73,9.94,1
6.88,1.66,7.775,1
7.03,1.63,6.99166666666667,1
7.12,1.52,5.92,1
6.71,1.39,5.68333333333333,1
6.57,1.25,6.015,1
6.3,1.32,4.83833333333333,1
6.41,1.3,4.07666666666667,1
6.26,1.21,3.44,1
5.99,1.15,2.39833333333333,2
6.29,1.19,0.568333333333333,2
6.18,1.13,1.635,2
6.61,1,3.64166666666667,1
6.5,0.94,5.89666666666667,1
6.41,0.88,6.93833333333333,1
6.37,0.85,8.35333333333333,1
6.32,0.91,8.80166666666667,1
6.66,0.93,8.53333333333333,1
6.26,0.91,10.6416666666667,1
3.97,1.02,10.8483333333333,1
4.33,1.07,12.2166666666667,1
4.48,1.21,13.73,1
4.82,1.33,13.1866666666667,1
5.15,1.36,11.5083333333333,1
4.73,1.3,12.54,1
4.69,1.16,10.9066666666667,1
4.24,1.08,10.2366666666667,1
3.71,0.98,8.36833333333333,1
4.35,0.9,8.345,1
4.62,0.86,6.52333333333333,1
4.42,0.89,6.735,1
7.92,0.82,7.06833333333333,1
3.34,0.78,7.88333333333333,1
3.45,0.77,11.0283333333333,1
3.29,0.84,12.0583333333333,1
3.93,1.13,9.81,1
4.53,1.2,11.8283333333333,1
5.3,1.45,13.2333333333333,1
5.3,1.68,15.05,1
5.47,1.83,18.2233333333333,1
6.62,2.17,18.3966666666667,1
6.78,2.56,19.03,1
7.66,2.94,19.755,1
7.92,3.17,20.9183333333333,1
7.95,3.19,20.5666666666667,1
8.26,3.74,21.715,1
8.3,3.78,22.5933333333333,1
7.79,3.68,23.2516666666667,1
8.2,4.04,23.3666666666667,1
8.31,4.17,22.8233333333333,1
8.84,3.76,22.085,1
9.09,4,22.13,1
8.16,3.49,21.08,1
7.33,3.52,19.0916666666667,1
8.63,3.32,18.8266666666667,1
8.32,3.17,19.02,1
7.51,3.5,18.2433333333333,1
8.27,3.12,17.7783333333333,1
7.07,3,17.245,1
7.28,2.81,15.6433333333333,1
6.82,2.72,15.92,1
7.32,2.58,15.6483333333333,1
7.29,2.63,15.435,1
6.54,2.52,15.6866666666667,1
7.92,2.63,15.42,1
7.9,2.43,14.8533333333333,1
8.01,2.27,15.3083333333333,1
7.75,2.27,15.0533333333333,1
7.73,2.3,14.7816666666667,1
7.55,2.26,14.565,1
7.29,2.51,14.8216666666667,1
7.15,2.65,14.2716666666667,1
7.47,2.38,13.5633333333333,1
7.27,2.27,13.3433333333333,1
6.76,2.18,13.5,1
7.34,2.25,13.1966666666667,1
7.2,2,13.545,1
6.51,2.14,13.1216666666667,1
7.14,1.88,12.9833333333333,1
6.98,2.03,13.6266666666667,1
7,1.89,12.7633333333333,1
6.31,1.96,12.715,1
6.51,1.89,9.39833333333333,1
5.69,1.48,8.19333333333333,1
5.8,1.51,6.67333333333333,1
5.21,1.3,6.93,1
5.81,1.23,8.74666666666667,1
5.21,1.16,9.84166666666667,1
4.63,1.21,10.1866666666667,1
5.06,1.36,11.05,1
5.53,1.52,10.6516666666667,1
6.28,1.82,10.6833333333333,1
5.88,1.85,10.635,1
7.18,1.86,10.95,1
7.3,1.92,10.6766666666667,1
6.56,2.03,10.8816666666667,1
6.64,2.06,11.2816666666667,1
6.86,2.25,10.0733333333333,1
7.06,2.15,7.37,1
7.23,1.78,4.61,1
7.61,1.92,4.45666666666667,1
7.9,1.67,3.94,1
6.8,1.45,2.715,2
7.7,1.4,4.99833333333333,1
7.42,1.3,3.57833333333333,1
8.81,1.3,2.45333333333333,2
8.59,1.3,6.02166666666667,1
8.28,1.39,4.47833333333333,1
8.33,1.4,5.085,1
8.42,1.41,5.21166666666667,1
8.01,1.34,3.95333333333333,1
8.24,1.38,5.01,1
7.88,1.38,4.08166666666667,1
7.86,1.35,6.72333333333333,1
8.01,1.36,5.29833333333333,1
7.09,1.15,6.31666666666667,1
7.71,1.08,7.125,1
8.15,1.18,5.91,1
5.59,1.11,5.47333333333333,1
8.02,1.23,5.765,1
7.63,1.18,6.485,1
5.89,1.12,5.45833333333333,1
7.24,1.15,8.145,1
7.46,1.19,6.11,1
6.92,1.11,5.42833333333333,1
7.35,1.05,6.98,1
7.26,1.15,7.57666666666667,1
7.26,1.15,7.60833333333333,1
7.64,1.2,7.91666666666667,1
4.44,1.14,7.68166666666667,1
4.82,1.04,7.385,1
4.81,1.17,8.955,1
4.69,1.31,8.68333333333333,1
4.44,1.17,5.735,1
4.71,1.14,7.98,1
4.52,1.24,7.26666666666667,1
5.19,1.21,6.49833333333333,1
5.12,1.19,5.96666666666667,1
5.39,1.27,6.675,1
5.64,1.3,10.0083333333333,1
5.47,1.47,9.45,1
5.57,1.16,6.29333333333333,1
5.4,1.06,3.67,1
5.28,0.91,6.46333333333333,1
5.33,0.94,6.11166666666667,1
4.8,1.09,5.755,1
4.85,1.08,5.82333333333333,1
4.87,1.07,5.715,1
5.13,1.08,6.79333333333333,1
5.24,1.12,9.52833333333333,1
5.54,1.23,11.4283333333333,1
4.81,1.27,10.0833333333333,1
4.49,1.35,12.0983333333333,1
4.41,1.48,12.605,1
4.96,1.73,11.61,1
5.05,1.48,11.1033333333333,1
4.86,1.56,10.525,1
6.2,1.64,10.545,1
4.6,1.58,10.0233333333333,1
5.16,1.52,9.02,1
4.41,1.41,6.46333333333333,1
4.37,1.15,7.58333333333333,1
4.38,0.97,9.17666666666667,1
4.21,1.04,10.9666666666667,1
5.3,1.32,13.225,1
5.72,1.56,11.5,1
5.92,1.54,10.7616666666667,1
6.19,1.49,10.5066666666667,1
6.12,1.49,9.29666666666667,1
6.27,1.41,9.07666666666667,1
5.67,1.49,10.0133333333333,1
6.04,1.67,10.5216666666667,1
6.4,1.77,11.1833333333333,1
6.59,1.74,10.265,1
5.82,1.58,7.27333333333333,1
6.87,1.54,4.975,1
6.62,1.46,5.84333333333333,1
6.8,1.52,5.365,1
6.3,1.5,5.25,1
6.71,1.43,5.70833333333333,1
6.47,1.52,6.14666666666667,1
6.32,1.49,5.865,1
6.05,1.6,4.33333333333333,1
6.07,1.49,3.675,1
6.59,1.65,4.51,1
7.29,1.53,5.66833333333333,1
7.46,1.4,7.60333333333333,1
7.7,1.46,7.81166666666667,1
7.55,1.39,7.09833333333333,1
7.91,1.32,6.53666666666667,1
7.73,1.28,6.43,1
7.77,1.25,8.05833333333333,1
7.42,1.19,7.94833333333333,1
6.42,1.21,9.13833333333333,1
5.17,1.26,8.305,1
4.77,1.26,9.04166666666667,1
5.76,1.25,11.3266666666667,1
5.47,1.36,13.155,1
4.75,1.41,14.3116666666667,1
5.19,1.62,15.2433333333333,1
5.18,1.78,15.9633333333333,1
5.14,1.76,15.145,1
5.35,2.01,15.32,1
5.87,2.16,15.3183333333333,1
7.06,2.21,15.7316666666667,1
